"linhas","xdist","transecto","ydist","FILE","Time","AB12","Mask","Model","Comp","LAI","SEL","DIFN","MTA","SEM","SMP","Prompt1","Prompt2","Rspns1","file_name","ano","mes","dia","hora","minuto","status"
1,0,"A",0,4,"21/09/2017 06:21"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.16,"0,00","0,064",51,12,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1_20170921AB.TXT","2017","09","21","01"," 0","bom"
1,0,"AB",20,4,"12 mar 06:28:12"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",1.71,"0","0.29",45,7,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1e3_20140312AB.txt","2014","03","12","06","28","bom"
1,0,"A",0,3,"21/09/2017 06:21"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",2.23,"0,01","0,270",64,6,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1_20170921AB.TXT","2017","09","21","01"," 0","bom"
1,0,"Q",800,20,"08 out 06:35:46"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.27,"0","0.047",47,9,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1e3e5_20131008CD.txt","2013","10","08","06","35","bom"
1,0,"T",950,23,"6/18/2009 06:58"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.37,"0.01","0.045",56,6,2,"  LINHA","  PONTO","1","LAI_ABC_junho2009_1a2.txt","2009","6","18","6","58","bom"
1,0,"K",500,16,"23 nov 06:06:27"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",2.35,"0,03","0,226",43,19,2,"  LINHA","  PONTO","1      ","Cruzada_Ar1_Linha_1e3e5e7_20181123AB.TXT","2018","11","23","06","06","bom"
1,0,"O",700,18,"12 mar 06:40:40"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",3.68,"0","0.068",48,7,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1e3_20140312AB.txt","2014","03","12","06","40","bom"
1,0,"O",700,18,"3/24/2008 06:59"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",5.19,"0","0.027",54,5,2,"LINHA  ","PONTO  ","1","LAI_ABC_marco2008_1a4.txt","2008","3","24","6","59","bom"
1,0,"A",0,2,"08 out 06:20:45"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",3.89,"0.03","0.06",53,7,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1e3e5_20131008CD.txt","2013","10","08","06","20","bom"
1,0,"T",950,23,"08 out 06:38:21"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.04,"0.01","0.088",60,7,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1e3e5_20131008CD.txt","2013","10","08","06","38","bom"
1,0,"C",100,1,"20230426 07:33:41","2.0.3","11110","Horizontal","a-p-s",1.94,"0","0.382",90,0,1,"LINHA","PONTO","1","C0S.1","2023","4","26","07","","bom"
1,0,"A",0,1,"20240515 07:05:29","2.0.3","11110","Horizontal","a-p-s",6.84,"0","0.012",46,12,1,"LINHA","PONTO","1","A0D.30","2024","5","15","07","","bom"
1,0,"B",50,1,"20231115 06:53:22","2.0.3","11110","Horizontal","a-p-s",0,"0","0",0,0,0,"LINHA","PONTO","1","B0D.30","2023","11","15","06","","bom"
1,0,"G",300,10,"11/26/2008 08:54"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",5.84,"0.01","0.015",53,9,2,"  LINHA","  PONTO","1","LAI_ABC_novembro2008_1a6.txt","2008","11","26","8","54","bom"
1,0,"J",450,13,"11/09/2007 06:29"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.41,"0","0.097",90,18,2,"LINHA  ","PONTO  ","1","LAI_ABC_novembro2007_1a4.txt","2007","11","9","6","29","bom"
1,0,"R",850,21,"08/10/2013 06:36"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.79,"0.01","0.033",57,6,2,"  LINHA","  PONTO","1","LAI_ABC_outubro_20131008.txt","2013","10","10","6","36","bom"
1,0,"S",900,23,"17 nov 06:18:19"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",3.637088,"0,00","0,024",90,25,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1e3_20161117CD.txt","2016","11","17","06","18","corr"
1,0,"G",300,10,"04/09/2017 06:25"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",2.79,"0.04","0.149",65,5,2,"  LINHA","  PONTO","1","LAI_ABC_setembro2012_1a2.txt","2012","9","9","6","25","bom"
1,0,"P",750,19,"18/12/2017 05:58"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.32,"0","0.142",90,37,2,"  LINHA","  PONTO","1","LAI_ABC_dezembro2012_1e3.txt","2012","12","12","5","58","bom"
1,0,"D",150,7,"03/04/2009 06:38"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.06,"0","0.064",62,5,2,"  LINHA","  PONTO","1","LAI_ABC_marco2009_1a4.txt","2009","3","4","6","38","bom"
1,0,"C",100,6,"09/09/2010 07:13"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",5.25,"0.01","0.022",51,11,2,"  LINHA","  PONTO","LINHA1 ","LAI_ABC_setembro2010_1a2.txt","2010","9","9","7","13","bom"
1,0,"AB",20,1,"20230621 07:43:51","2.0.3","11110","Horizontal","a-p-s",0,"0","0",0,0,0,"LINHA","PONTO","1","ABS.1","2023","6","21","07","","bom"
1,0,"H",350,11,"3/21/2007 06:52"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.21,"0.01","0.052",51,6,2,"LINHA  ","PONTO  ","1","LAI_ABC_marco2007_1a8_prob.txt","2007","3","21","6","52","bom"
1,0,"E",200,8,"11/09/2007 06:24"," 1  1  0  0  0","11110","Horizontal","F-P-S (dflt)",4.01,"0","0.094",60,9,1,"LINHA  ","PONTO  ","1","LAI_ABC_novembro2007_1a4.txt","2007","11","9","6","24","bom"
1,0,"A",0,1,"15/04/2017 06:30"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",1.36,"0,01","0,377",57,4,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1e3_20160415AD.txt","2016","04","15","01"," 0","bom"
1,0,"S",900,22,"11/22/2011 06:16"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.51,"0.02","0.036",46,10,2,"  LINHA","  PONTO","1","LAI_ABC_novembro2011_1e2.txt","2011","11","22","6","16","bom"
1,0,"J",450,17,"06/03/2008 07:23"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.93,"0.01","0.032",59,11,2,"LINHA  ","PONTO  ","1","LAI_ABC_junho2008_1a2.txt","2008","6","3","7","23","bom"
1,0,"J",450,13,"18/12/2017 05:52"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",3.98,"0.01","0.158",90,46,2,"  LINHA","  PONTO","1","LAI_ABC_dezembro2012_1e3.txt","2012","12","12","5","52","bom"
1,0,"L",550,15,"7/14/2006 07:17"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.9,"0","0.028",47,9,2,"LINHA  ","PONTO  ","1","LAI_ABC_julho2006_1a4.txt","2006","7","14","7","17","bom"
1,0,"G",300,37,"06 out 06:51:56"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.71,"0,01","0,038",61,14,2,"  LINHA","  PONTO","1","Cruzada_Ar1_linha_1e3_20151006AB.txt","2015","10","06","06","51","bom"
1,0,"E",200,8,"08 out 06:25:11"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.33,"0.01","0.043",47,9,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1e3e5_20131008CD.txt","2013","10","08","06","25","bom"
1,0,"AA",10,3,"12 mar 06:27:41"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",1.83,"0","0.26",45,5,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1e3_20140312AB.txt","2014","03","12","06","27","bom"
1,0,"A",0,1,"12/02/2010 06:07"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",1.14,"0.02","0.586",90,28,2,"  LINHA","  PONTO","1","LAI_ABC_dezembro2010_1e2.txt","2010","12","2","6","7","bom"
1,0,"L",550,15,"06/06/2012 06:52"," 2  2  0  0  0","11111","Horizontal","F-P-S (dflt)",3.32,"0.01","0.055",43,8,2,"  LINHA","  PONTO","1","LAI_ABC_junho2012_1a2.txt","2012","6","6","6","52","bom"
1,0,"K",500,14,"11/26/2008 08:57"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.31,"0","0.047",42,18,2,"  LINHA","  PONTO","1","LAI_ABC_novembro2008_1a6.txt","2008","11","26","8","57","bom"
1,0,"E",200,8,"05/07/2010 06:38"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",3.11,"0,00","0,109",60,9,2,"  LINHA","  PONTO","1","LAI_ABC_maio2010_1a2.txt","2010","5","7","6","38","bom"
1,0,"C",100,10,"06/03/2008 07:15"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",3.91,"0.01","0.068",50,9,2,"LINHA  ","PONTO  ","1","LAI_ABC_junho2008_1a2.txt","2008","6","3","7","15","bom"
1,0,"U",1000,24,"7/24/2007 08:04"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.69,"0","0.043",63,6,2,"LINHA  ","PONTO  ","1","LAI_ABC_julho2007_1a4.txt","2007","7","24","8","4","bom"
1,0,"I",400,12,"11/09/2007 06:28"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",5.33,"0.02","0.023",46,8,2,"LINHA  ","PONTO  ","1","LAI_ABC_novembro2007_1a4.txt","2007","11","9","6","28","bom"
1,0,"A",0,1,"20230509 07:27:18","2.0.3","11110","Horizontal","a-p-s",5.53,"0","0.026",43,9,1,"LINHA","PONTO","1","A0D.30","2023","5","9","07","","bom"
1,0,"M",600,16,"06/06/2012 06:53"," 2  2  0  0  0","11111","Horizontal","F-P-S (dflt)",3.32,"0","0.054",42,7,2,"  LINHA","  PONTO","1","LAI_ABC_junho2012_1a2.txt","2012","6","6","6","53","bom"
1,0,"J",450,13,"03/03/2011 06:58"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",5.12,"0.02","0.037",64,11,2,"  LINHA","  PONTO","1","LAI_ABC_marco2011_1a4.txt","2011","3","3","6","58","bom"
1,0,"T",950,25,"23 nov 06:14:24"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",2.9,"0,01","0,132",41,8,2,"  LINHA","  PONTO","1      ","Cruzada_Ar1_Linha_1e3e5e7_20181123AB.TXT","2018","11","23","06","14","bom"
1,0,"A",0,1,"20240207 07:42:08","2.0.3","11110","Horizontal","a-p-s",7.08,"0","0.012",39,7,1,"LINHA","PONTO","1","A0D.30","2024","2","7","07","","bom"
1,0,"B",50,9,"06/03/2008 07:14"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",5.16,"0","0.027",58,7,2,"LINHA  ","PONTO  ","1","LAI_ABC_junho2008_1a2.txt","2008","6","3","7","14","bom"
1,0,"J",450,13,"03/04/2009 06:45"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.59,"0","0.042",61,7,2,"  LINHA","  PONTO","1","LAI_ABC_marco2009_1a4.txt","2009","3","4","6","45","bom"
1,0,"E",200,8,"12 mar 06:31:39"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",2.39,"0","0.173",49,7,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1e3_20140312AB.txt","2014","03","12","06","31","bom"
1,0,"G",300,10,"01 out 06:28:07"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.91,"0.01","0.028",44,4,2,"  LINHA","  PONTO","1","Cruzada_Ar1_Linha_1e3_20141001AB.txt","2014","10","01","06","28","bom"
1,0,"A",0,2,"08/03/2005 07:01"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.28,"0","0.079",75,9,2,,,"1","LAI_ABC_agosto2005_1a4.txt","2005","8","3","7","1","bom"
1,0,"AA",10,3,"03/04/2009 06:36"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",3.57,"0","0.085",62,7,2,"  LINHA","  PONTO","1","LAI_ABC_marco2009_1a4.txt","2009","3","4","6","36","bom"
1,0,"A",0,1,"20240312 07:15:45","2.0.3","11110","Horizontal","a-p-s",7.01,"0","0.01",42,7,1,"LINHA","PONTO","1","A0D.30","2024","3","12","07","","bom"
1,0,"H",350,13,"23 nov 06:03:54"," 2  2  0  0  0","11110","Horizontal","F-P-S (dflt)",4.08,"0,00","0,059",49,5,2,"  LINHA","  PONTO","1      ","Cruzada_Ar1_Linha_1e3e5e7_20181123AB.TXT","2018","11","23","06","03","bom"
