Name,#,Sample_ID,Level,Species,Organ,Tree_ID,id.ext.ss,id.ext.starch,Daum,Weight_mg,Box_HPLC,Box_14C,Results_file_14C,Box_d13C,Glucose,Sucrose,Fructose,Starch,Total_sugars,Total_NSC,TOC_sugars_extraction,Bulk_d13C_permil,Water_soluble_d13C_permil,Starch_d13C_permil,Lipids_d13C_permil,Respired_d13C_permil,Respired_D14C,Sugars_D14C_permil,Starch_D14C_permil,Cellulose_D14C_permil,d15N_bulk,Cellulose_mg,N,C%,N%,C/N,CO2_efflux_flasks,CO2_efflux_Cozir,CO2_norm,Elevation,Shoot_root
B.Hilman,1,H.Mugo.B.1,High,Pinus mugo,Branch wood,1,H.Mugo.B.1_A,H.Mugo.B.1_E,,50.56,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.4,3.4,0.6,,4.4,4.4,5.235,-28.63,-29.06,,-30.18,-29.05,2.99,0,-178.9,-1.7,-2.40279286656457,5.42,0.423672069918065,50.2485733032227,0.440766632556915,114.00,1.64721063945075,0.142846543585655,1.64591239597007,2200,Shoot
B.Hilman,2,H.Mugo.B.2,High,Pinus mugo,Branch wood,2,H.Mugo.B.2_A,H.Mugo.B.2_E,,50.18,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.5,1.9,0.8,0.4,3.2,3.6,5.620,-27.26,-28.58,,-28.74,-27.07,3.91,19.8,9.7,2.7,-4.41113818110348,4.71,0.43913110982235,49.1597862243652,0.41681319475174,117.94,1.92049511484918,0.187639404058347,1.83031324828578,2200,Shoot
B.Hilman,3,H.Mugo.B.3,High,Pinus mugo,Branch wood,3,H.Mugo.B.3_A,H.Mugo.B.3_E,,40.51,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.1,1.3,0.1,0.1,1.6,1.7,5.827,-27.89,-27.94,,-28.17,-27.18,9.47,7.8,21.7,17.2,-4.95435285095806,8.24,0.336758035576085,52.0287742614746,0.33494821190834,155.33,0.970363416898321,0.10938411113029,1.00145473045509,2200,Shoot
B.Hilman,4,H.Mugo.B.4,High,Pinus mugo,Branch wood,4,H.Mugo.B.4_A,H.Mugo.B.4_E,,50.43,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,1.1,4.3,1.7,0.4,7.0,7.4,9.439,-27.87,-28.27,,-29.25,-27.72,4.41,13.3,24.5,5.8,-2.60999774099221,5.87,0.483963931194808,49.7409591674805,0.478684097528458,103.91,1.8937901333142,0.175327748395102,1.96993993133786,2200,Shoot
B.Hilman,5,H.Mugo.B.5,High,Pinus mugo,Branch wood,5,H.Mugo.B.5_A,H.Mugo.B.5_E,,50.26,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.2,2.2,0.3,0.2,2.7,2.9,6.487,-27.04,-28.42,,-27.94,-26.62,3.12,14.7,4.4,-3.1,-2.18343240266723,4.53,0.420307638420418,52.0393333435059,0.417961657047272,124.51,1.4241150379008,0.144954041687854,1.40183409566455,2200,Shoot
B.Hilman,6,M.Mugo.B.6,Middle,Pinus mugo,Branch wood,6,M.Mugo.B.6_A,M.Mugo.B.6_E,,50.74,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.1,2.0,0.3,0.3,2.4,2.7,7.225,-28.13,-28.69,,-29.01,-29.33,1.60,40.1,12.4,9.5,-3.28930694821456,2.91,0.353135864108539,48.6574974060059,0.322732985019684,150.77,1.10626668112153,0.118538118649466,1.00957549690066,2080,Shoot
B.Hilman,7,M.Mugo.B.7,Middle,Pinus mugo,Branch wood,7,M.Mugo.B.7_A,M.Mugo.B.7_E,,50.66,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.3,2.0,0.4,0.2,2.7,2.8,5.768,-28.40,-28.77,,-29.74,-28.86,-2.12,17.1,11.8,11.8,-3.50941781318877,7.3,0.471700134849843,50.1141319274902,0.46463879942894,107.86,0.932698257126575,0.084487014073665,0.847828518416638,2080,Shoot
B.Hilman,8,M.Mugo.B.8,Middle,Pinus mugo,Branch wood,8,M.Mugo.B.8_A,M.Mugo.B.8_E,,45.25,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.5,2.1,0.7,0.3,3.3,3.6,6.290,-29.31,-29.68,,-28.41,-31.35,-2.65,15.9,7.8,6.6,-4.23181368460292,9.75,0.378619413251402,49.873851776123,0.372150003910065,134.02,1.06966421907046,0.101254576725535,1.02426945377134,2080,Shoot
B.Hilman,9,M.Mugo.B.9,Middle,Pinus mugo,Branch wood,9,M.Mugo.B.9_A,M.Mugo.B.9_E,,53.5,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.3,3.7,0.7,0.0,4.6,4.6,9.094,-29.14,-28.41,,-30.75,-28.34,10.46,13.6,-49.4,8.6,-0.800411820633355,5.69,0.466353716707375,49.5790519714355,0.464338332414627,106.77,1.64544168564244,0.157907344681208,1.52068838020346,2080,Shoot
B.Hilman,10,M.Mugo.B.10,Middle,Pinus mugo,Branch wood,10,M.Mugo.B.10_A,M.Mugo.B.10_E,,50.27,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,1.1,2.3,1.6,0.4,5.0,5.4,11.042,-27.87,-30.19,,-28.74,-28.15,10.61,10.6,-3.9,3.8,-3.00992493133908,3.37,0.601529229920652,52.6435317993164,0.610279619693756,86.26,1.05842748192138,0.114667028554344,1.06680571730975,2080,Shoot
B.Hilman,11,L.Mugo.B.11,Low,Pinus mugo,Branch wood,11,L.Mugo.B.11_A,L.Mugo.B.11_E,,51.01,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.6,2.2,0.9,0.1,3.6,3.7,6.144,-28.65,-31.88,,-29.44,-29.83,6.41,7.5,-2.2,6,-0.526136709088998,4.4,0.423945228651531,48.7697677612305,0.355673849582672,137.12,1.35179704653064,0.182247245472622,1.28933606968189,2000,Shoot
B.Hilman,12,L.Mugo.B.12,Low,Pinus mugo,Branch wood,12,L.Mugo.B.12_A,L.Mugo.B.12_E,,50.72,Box1_03.03.20,Box2_25.02.2020_14C_sugar&starch_Stilberg,Hilman_27,Box1_25.02.2020_d13_sugar&starch_Stilberg,0.5,2.3,0.8,0.3,3.5,3.8,7.701,-27.66,-28.01,,-28.00,-28.60,9.90,14.6,6.3,13.2,-4.53406184099438,3.83,0.366568514206686,48.9438018798828,0.343052327632904,142.67,1.24169428993203,0.187279220618263,1.21075747278202,2000,Shoot
