"plot","pont","peso.seco","peso.saco","peso.flor_g","peso.fruto_g","peso.galho_g","peso.folha_g","data","obs","date2","years","months","days","weight_g"
"E21","A",17.16,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",9.43
"E21","B",26.83,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",19.1
"E21","C",39.38,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",31.65
"E21","D",23.61,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",15.88
"E22","A",37.88,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",30.15
"E22","B",23.9,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",16.17
"E22","C",20.06,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",12.33
"E22","D",34.77,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",27.04
"E26","A",14.81,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",7.08
"E26","B",32.44,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",24.71
"E26","C",16.15,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",8.42
"E26","D",24.64,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",16.91
"E27","A",15.68,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",7.95
"E27","B",34.96,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",27.23
"E27","C",29.58,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",21.85
"E27","D",22.02,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",14.29
"F21","A",27.5,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",19.77
"F21","B",48.5,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",40.77
"F21","C",24.17,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",16.44
"F21","D",15.73,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",8
"F22","A",24.08,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",16.35
"F22","B",24.36,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",16.63
"F22","C",12.32,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",4.59
"F22","D",15.87,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",8.14
"F26","A",22.58,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",14.85
"F26","B",15.45,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",7.72
"F26","C",25.74,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",18.01
"F26","D",17.68,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",9.95
"F27","A",27.16,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",19.43
"F27","B",21.89,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",14.16
"F27","C",30.51,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",22.78
"F27","D",36.77,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",29.04
"J21","A",25.73,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",18
"J21","B",52.78,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",45.05
"J21","C",22.78,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",15.05
"J21","D",14.83,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",7.1
"J22","A",24.83,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",17.1
"J22","B",21.34,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",13.61
"J22","C",34.02,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",26.29
"J22","D",21.59,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",13.86
"J26","A",21.97,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",14.24
"J26","B",27.58,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",19.85
"J26","C",20.77,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",13.04
"J26","D",16.05,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",8.32
"J27","A",16.21,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",8.48
"J27","B",19.13,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",11.4
"J27","C",23.94,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",16.21
"J27","D",31.98,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",24.25
"K21","A",20.33,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",12.6
"K21","B",28.64,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",20.91
"K21","C",33.39,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",25.66
"K21","D",19.63,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",11.9
"K22","A",25.62,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",17.89
"K22","B",30.87,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",23.14
"K22","C",33.23,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",25.5
"K22","D",18.99,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",11.26
"K26","A",15.7,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",7.97
"K26","B",15.12,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",7.39
"K26","C",19.83,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",12.1
"K26","D",20.53,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",12.8
"K27","A",18.71,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",10.98
"K27","B",27.56,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",19.83
"K27","C",26.45,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",18.72
"K27","D",25.02,7.73,,,,,"01/09/2011",,2011-09-01,"2011","09","01",17.29
"E21","A",16.7,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",9.22
"E21","B",29.49,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",22.01
"E21","C",28.88,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",21.4
"E21","D",19.63,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",12.15
"E22","A",19.17,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",11.69
"E22","B",25.64,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",18.16
"E22","C",16.91,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",9.43
"E22","D",20.65,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",13.17
"E26","A",20.4,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",12.92
"E26","B",89.79,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",82.31
"E26","C",14.48,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",7
"E26","D",31.33,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",23.85
"E27","A",21.2,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",13.72
"E27","B",21.25,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",13.77
"E27","C",26.58,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",19.1
"E27","D",28.44,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",20.96
"F21","A",28.96,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",21.48
"F21","B",35.23,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",27.75
"F21","C",19.23,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",11.75
"F21","D",17.78,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",10.3
"F22","A",34.81,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",27.33
"F22","B",25.74,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",18.26
"F22","C",15.07,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",7.59
"F22","D",21.16,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",13.68
"F26","A",20.63,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",13.15
"F26","B",14.71,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",7.23
"F26","C",36.25,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",28.77
"F26","D",23.69,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",16.21
"F27","A",20.54,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",13.06
"F27","B",34.89,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",27.41
"F27","C",15.23,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",7.75
"F27","D",32.46,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",24.98
"J21","A",20.84,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",13.36
"J21","B",42.22,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",34.74
"J21","C",25.68,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",18.2
"J21","D",16.54,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",9.06
"J22","A",19.53,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",12.05
"J22","B",16.5,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",9.02
"J22","C",24.7,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",17.22
"J22","D",23.67,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",16.19
"J26","A",16.69,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",9.21
"J26","B",19.98,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",12.5
"J26","C",17.48,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",10
"J26","D",25.17,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",17.69
"J27","A",17.2,7.48,,,,,"15/09/2011",,2011-09-15,"2011","09","15",9.72
