P-Nr.,Probe,species,Compound,Date,F14C,err_F14C ,D14C,err_D14C,
20713,25633,Dacryodes microcarpa,respired_CO2,July_2018,1.0020,0.0021,-6.3,2.1,
20715,26220,Dacryodes microcarpa,respired_CO2,July_2018,1.0288,0.0021,20.2,2.1,
20716,27200,Dacryodes microcarpa,respired_CO2,July_2018,1.0368,0.0035,28.2,3.5,
20709,27803,Dacryodes microcarpa,respired_CO2,July_2018,1.0347,0.0018,26.1,1.8,
20708,27924,Dacryodes microcarpa,respired_CO2,July_2018,1.0322,0.0020,23.6,2,
20714,27944,Dacryodes microcarpa,respired_CO2,July_2018,1.0454,0.0021,36.7,2.1,
20712,29896,Dacryodes microcarpa,respired_CO2,July_2018,1.0572,0.0019,42.1,1.9,
20711,29900,Dacryodes microcarpa,respired_CO2,July_2018,1.0336,0.0034,25,3.4,
20710,31492,Dacryodes microcarpa,respired_CO2,July_2018,1.0603,0.0031,51.5,3.1,
20707,32001,Dacryodes microcarpa,respired_CO2,July_2018,1.0494,0.0030,40.6,3,
20706,34063,Ocotea leucoxylon,respired_CO2,July_2018,1.0302,0.0032,19.1,3.2,
20705,34288,Ocotea leucoxylon,respired_CO2,July_2018,1.0171,0.0030,8.6,3,
20704,34459,Ocotea leucoxylon,respired_CO2,July_2018,1.0279,0.0031,19.4,3.1,
