P-Nr.,Probe,species,Compound,Date,F14C,err_F14C ,D14C,err_D14C,
33475, 26820-2-2,Ocotea leucoxylon,Soluble carbon,May_2019,1.0548,0.0024,45.5,2.4,
33467, 26820-2-4,Ocotea leucoxylon,Soluble carbon,May_2019,1.1267,0.0025,116.8,2.5,
33480, 26862-2-2,Ocotea leucoxylon,Soluble carbon,May_2019,0.9606,0.0024,-47.9,2.4,
33466, 29900-2-2,Dacryodes microcarpa,Soluble carbon,May_2019,1.0372,0.0024,28.1,2.4,
33481, 31456-1-4,Ocotea leucoxylon,Soluble carbon,May_2019,1.1562,0.0027,146,2.7,
33478, 31492-1-4,Dacryodes microcarpa,Soluble carbon,May_2019,1.2824,0.0031,271.1,3.1,
33463, 34063-2-2,Ocotea leucoxylon,Soluble carbon,May_2019,1.0352,0.0024,26.1,2.4,
33479, 34063-2-4,Ocotea leucoxylon,Soluble carbon,May_2019,1.0556,0.0025,46.3,2.5,
33483, 34446-1-2,Sacoglottis guianensis ,Soluble carbon,May_2019,1.0311,0.0025,22.1,2.5,
33468, 34446-1-4,Sacoglottis guianensis ,Soluble carbon,May_2019,1.0499,0.0028,40.7,2.8,
33459, 40244-1-4,Sacoglottis guianensis ,Soluble carbon,May_2019,1.1593,0.0026,149.1,2.7,
33482, 42589-1-4,Sacoglottis guianensis ,Soluble carbon,May_2019,1.0771,0.0026,67.6,2.6,
33460,1054-1-4,Sacoglottis guianensis ,Soluble carbon,May_2019,1.3587,0.0030,346.7,3,
33464,27803-2-2,Dacryodes microcarpa,Soluble carbon,May_2019,1.0315,0.0023,22.5,2.3,
33471,27803-2-4,Dacryodes microcarpa,Soluble carbon,May_2019,1.0432,0.0024,34,2.4,
33473,29896-2-2,Dacryodes microcarpa,Soluble carbon,May_2019,1.0423,0.0025,33.1,2.5,
33477,29896-2-4,Dacryodes microcarpa,Soluble carbon,May_2019,1.1863,0.0027,175.9,2.7,
33465,31391-2-4,Ocotea leucoxylon,Soluble carbon,May_2019,1.0778,0.0024,68.3,2.4,
33472,31456-1-2,Ocotea leucoxylon,Soluble carbon,May_2019,1.0287,0.0024,19.7,2.4,
33469,32001-2-2,Dacryodes macrocarpa,Soluble carbon,May_2019,1.0763,0.0026,66.8,2.6,
33470,32001-2-4,Dacryodes microcarpa,Soluble carbon,May_2019,1.1708,0.0029,160.5,2.9,
33474,Standard-Rye-flour2,Std,Std,May_2019,1.0926,0.0028,83,2.8,
33461,Standard2 #7,Std,Std,May_2019,1.0364,0.0023,27.3,2.3,
33462,Standard2 #8,Std,Std,May_2019,1.0240,0.0023,15,2.3,
33476,Sugar3 - 0.7-1,Std,Std,May_2019,1.5110,0.0035,497.7,3.5,
